start_time,end_time,wav_file,emotion,V,A,D,speaker,transcriptions
6.2901,8.2357,Ses01F_impro01_F000,neu,2.5,2.5,2.5,Ses01F,Excuse me.
10.01,11.3925,Ses01F_impro01_F001,neu,2.5,2.5,2.5,Ses01F,Yeah.
14.8872,18.0175,Ses01F_impro01_F002,neu,2.5,2.5,2.5,Ses01F,Is there a problem?
27.46,31.49,Ses01F_impro01_F005,neu,2.5,3.5,2.0,Ses01F,Well what's the problem?  Let me change it.
85.27,88.02,Ses01F_impro01_F012,ang,2.0,3.5,3.5,Ses01F,That's out of control.
97.89,102.96,Ses01F_impro01_F014,neu,2.5,3.5,3.5,Ses01F,"Clearly.  You know, do you have like a supervisor or something?"
87.15,94.39,Ses01F_impro01_M011,ang,2.0,4.0,4.0,Ses01M,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.
101.84,107.87,Ses01F_impro01_M013,ang,2.0,4.5,4.5,Ses01M,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.
7.2688,16.6,Ses01F_impro02_F000,sad,2.5,2.0,1.5,Ses01F,Did you get the mail? So you saw my letter?
19.85,22.78,Ses01F_impro02_F001,sad,2.0,1.5,1.5,Ses01F,Yeah.  I know.
26.5659,32.2895,Ses01F_impro02_F002,sad,2.0,1.5,1.5,Ses01F,I don't know.  I put in that. request too. They didn't...
32.3075,37.96,Ses01F_impro02_F003,neu,2.0,2.0,2.0,Ses01F,"I guess, you know, everybody has to make sacrifices."
47.34,53.11,Ses01F_impro02_F004,sad,2.5,2.0,2.5,Ses01F,"There's people that have given more though, you know?"
58.75,61.31,Ses01F_impro02_F005,sad,2.0,2.0,2.5,Ses01F,I know.
64.255,68.47,Ses01F_impro02_F006,neu,2.5,2.5,2.5,Ses01F,"There's babies over there, though, that need mothers."
87.2031,91.09,Ses01F_impro02_F008,sad,1.5,2.0,1.5,Ses01F,"Just, you know, kicking myself."
97.94,102.19,Ses01F_impro02_F010,sad,2.0,1.5,2.0,Ses01F,things just aren't what they seem.
117.83,120.8605,Ses01F_impro02_F012,sad,3.5,2.0,1.5,Ses01F,"If not me then, who?"
127.82,133.9455,Ses01F_impro02_F013,sad,1.5,2.0,2.0,Ses01F,"You'll videotape everything, yeah?"
139.03,146.43,Ses01F_impro02_F014,sad,1.5,2.0,2.0,Ses01F,"Maybe you can send it to me, like stream it, yeah?"
151.4221,155.01,Ses01F_impro02_F015,sad,2.0,2.5,2.5,Ses01F,Last month--  Yeah.
163.54,165.73,Ses01F_impro02_F016,neu,2.0,1.0,2.5,Ses01F,I have to find sitters.
169.36,176.015,Ses01F_impro02_F017,sad,3.5,3.0,2.5,Ses01F,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street."
176.08,179.13,Ses01F_impro02_F018,neu,2.5,2.5,2.5,Ses01F,And your mother is close by.
182.83,185.8894,Ses01F_impro02_F019,sad,2.5,1.5,2.0,Ses01F,I'll send you lots of letters.
186.58,191.11,Ses01F_impro02_F020,sad,4.0,2.0,2.5,Ses01F,And I want lots and lots and lots of pictures.
21.76,27.5558,Ses01F_impro02_M001,sad,2.0,2.5,2.5,Ses01M,"I don't understand.  You've already done so much, I don't know why do you have to go back."
69.34,74.29,Ses01F_impro02_M005,sad,2.0,3.0,1.5,Ses01M,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.
114.1775,117.85,Ses01F_impro02_M009,sad,2.0,1.5,2.5,Ses01M,I just don't see why it has to be you.
120.4105,124.63,Ses01F_impro02_M010,sad,2.0,2.0,1.5,Ses01M,What am I going to do? Huh?
133.88,137.1,Ses01F_impro02_M011,sad,2.5,1.5,2.5,Ses01M,Yeah.
147.03,151.7101,Ses01F_impro02_M012,neu,2.5,2.0,2.0,Ses01M,Don't you guys have access to computers over there.
157.98,162.71,Ses01F_impro02_M013,sad,1.5,2.0,2.0,Ses01M,I just don't know how I'm going to do it without you.
164.885,169.5,Ses01F_impro02_M014,sad,1.5,3.0,1.5,Ses01M,I can't raise a baby by myself.  How?
175.47,176.72,Ses01F_impro02_M015,neu,3.0,3.0,1.5,Ses01M,I know.
4.88,7.74,Ses01F_impro03_F000,hap,4.3333,2.6667,2.6667,Ses01F,Well Vegas was awesome.
7.93,11.37,Ses01F_impro03_F001,hap,4.0,2.6667,2.6667,Ses01F,"And, um, I got married."
12.8,15.37,Ses01F_impro03_F002,hap,4.3333,3.0,2.3333,Ses01F,Yeah.  In the old town part.
21.75,25.52,Ses01F_impro03_F004,hap,4.6667,3.6667,2.3333,Ses01F,Um- Yes.  It was very romantic.
25.5584,28.14,Ses01F_impro03_F005,hap,4.3333,4.0,2.3333,Ses01F,It was at the slot machines.
28.37,34.71,Ses01F_impro03_F006,hap,4.0,3.3333,2.6667,Ses01F,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride."
40.12,42.79,Ses01F_impro03_F008,hap,4.0,3.3333,2.3333,Ses01F,"Yeah.  Well.  You know, because he's leaving the next day."
42.84,44.54,Ses01F_impro03_F009,hap,4.0,2.6667,2.3333,Ses01F,But we're going to have a honeymoon cruise.
47.87,51.075,Ses01F_impro03_F010,hap,4.0,3.3333,3.0,Ses01F,Oh.  I hadn't even thought about that.
55.865,58.15,Ses01F_impro03_F012,hap,4.0,3.6667,2.6667,Ses01F,Oh.  Totally.
60.73,65.86,Ses01F_impro03_F013,hap,5.0,4.0,3.3333,Ses01F,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER]
79.035,81.0875,Ses01F_impro03_F016,hap,4.0,3.0,2.3333,Ses01F,"He likes to keep tabs, you know."
82.0975,85.08,Ses01F_impro03_F017,neu,3.6667,2.6667,2.3333,Ses01F,"Uh, I think seven hundred and fifty dollars."
85.1,88.0225,Ses01F_impro03_F018,neu,3.6667,3.0,2.0,Ses01F,Penny slots. That's what he plays.
88.08,89.5,Ses01F_impro03_F019,neu,3.6667,2.3333,2.0,Ses01F,Yeah.
92.75,98.21,Ses01F_impro03_F021,hap,3.3333,3.6667,2.6667,Ses01F,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-
99.7775,102.03,Ses01F_impro03_F022,neu,3.3333,2.6667,2.0,Ses01F,Fifty bucks. Mmhmm.
102.62,103.4625,Ses01F_impro03_F023,neu,3.0,2.3333,2.0,Ses01F,Yeah.
103.78,108.1825,Ses01F_impro03_F024,hap,4.3333,3.0,2.6667,Ses01F,Well so now we're married. We have cat children.
110.23,114.16,Ses01F_impro03_F025,hap,4.3333,3.3333,3.3333,Ses01F,"We renamed Brenda, Lumber Janet."
114.19,120.2,Ses01F_impro03_F026,hap,4.6667,4.0,3.0,Ses01F,She needs a new name each state that we go into. [LAUGHTER]
3.24,5.46,Ses01F_impro03_M000,neu,4.0,3.0,2.6667,Ses01M,So what's up?  What's new?
6.6,8.66,Ses01F_impro03_M001,neu,4.3333,2.6667,2.3333,Ses01M,Yeah.  I heard.
34.25,36.34,Ses01F_impro03_M006,neu,4.0,2.6667,2.3333,Ses01M,He turned to you and was like...
37.7175,40.47,Ses01F_impro03_M007,hap,4.0,3.0,2.3333,Ses01M,[LAUGHTER] That's really romantic.
42.09,43.41,Ses01F_impro03_M008,neu,4.0,2.6667,2.0,Ses01M,Yeah.
44.16,49.07,Ses01F_impro03_M009,neu,3.6667,2.3333,2.3333,Ses01M,"Does that mean that you're going to get citizenship, too, in- in England or whatever?"
52.92,56.85,Ses01F_impro03_M011,neu,3.6667,3.6667,2.6667,Ses01M,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?
65.6425,68.44,Ses01F_impro03_M013,hap,4.6667,4.0,3.0,Ses01M,Like you need another one of those.[LAUGHTER]
73.41,76.9975,Ses01F_impro03_M014,hap,4.3333,3.6667,2.6667,Ses01M,Is that your phone?
78.32,80.5,Ses01F_impro03_M015,hap,4.0,3.0,2.6667,Ses01M,He loves you.
80.7175,82.5225,Ses01F_impro03_M016,neu,3.6667,2.6667,2.6667,Ses01M,How much did he win at the slot?
89.12,93.91,Ses01F_impro03_M019,neu,3.0,3.0,2.3333,Ses01M,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.
97.03,101.65,Ses01F_impro03_M020,neu,3.3333,3.0,2.6667,Ses01M,"But the pennies always get you because you end up spending like, you know, fifty bucks."
101.67,104.35,Ses01F_impro03_M021,neu,3.0,3.3333,2.6667,Ses01M,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you."
107.71,111.4,Ses01F_impro03_M023,hap,4.6667,4.3333,3.6667,Ses01M,[LAUGHTER] Cat babies.
117.36,119.58,Ses01F_impro03_M024,neu,3.6667,2.6667,2.3333,Ses01M,That's fair enough.
7.2455,11.64,Ses01F_impro04_F000,neu,3.0,3.0,3.0,Ses01F,"Uh, what?  Craig's List?  Oh the internet thing?"
11.7448,16.15,Ses01F_impro04_F001,neu,2.5,2.5,3.0,Ses01F,I don't know.  Isn't that-- that's all like escort services and things like that.
43.35,45.7596,Ses01F_impro04_F005,neu,3.0,2.0,2.5,Ses01F,He just...
46.2735,49.83,Ses01F_impro04_F006,neu,3.0,3.5,3.5,Ses01F,you know what?  I heard about that job.  I applied for that.
58.71,60.0937,Ses01F_impro04_F009,neu,2.5,2.5,2.5,Ses01F,Yeah.
76.49,80.7269,Ses01F_impro04_F013,neu,3.0,3.5,3.5,Ses01F,I just- I mean I call people up and I tell them what I'm good at.
85.49,86.98,Ses01F_impro04_F014,neu,2.5,3.0,2.5,Ses01F,Yeah.
170.83,172.84,Ses01F_impro04_F028,ang,2.0,3.5,3.5,Ses01F,I'm not frustrated.
175.27,178.43,Ses01F_impro04_F029,ang,1.5,4.0,4.0,Ses01F,Who do you think you are?
180.3025,183.4875,Ses01F_impro04_F030,ang,1.5,3.5,4.0,Ses01F,You are so high and mighty.  I just--
184.47,188.87,Ses01F_impro04_F031,ang,1.5,3.0,3.5,Ses01F,Oh.  I'm saving the environment. I'm riding this car because I- I want to.
189.12,192.02,Ses01F_impro04_F032,ang,2.0,3.5,3.5,Ses01F,"The bus, I'm riding the bus because I want to."
193.5875,199.4325,Ses01F_impro04_F033,ang,1.5,3.5,4.5,Ses01F,I can not-- you are not here by choice.  Nobody would ride this bus by choice.
2.7418,6.6575,Ses01F_impro04_M000,neu,3.0,2.5,2.5,Ses01M,"Have you tried, uh, Craig's List?"
10.46,12.13,Ses01F_impro04_M001,neu,3.0,2.5,2.0,Ses01M,Yeah.
15.64,18.9,Ses01F_impro04_M002,neu,3.0,2.5,3.0,Ses01M,No.  There's regular jobs on there.
26.91,28.71,Ses01F_impro04_M003,neu,3.0,2.5,2.5,Ses01M,Uh huh.
30.88,35.5225,Ses01F_impro04_M004,neu,3.0,3.0,3.0,Ses01M,I'm just saying I have a friend that got a good job on it so I was just recommending it.
